Comment,Designator,Footprint,MPN
100 nF,C1,C0402,CPL-CAP-X7R-0402-100NF-16V
100 nF,C2,C0402,CPL-CAP-X7R-0402-100NF-16V
100 nF,C3,C0402,CPL-CAP-X7R-0402-100NF-16V
100 nF,C4,C0402,CPL-CAP-X7R-0402-100NF-16V
100 nF,C5,C0402,CPL-CAP-X7R-0402-100NF-16V
100 nF,C6,C0402,CPL-CAP-X7R-0402-100NF-16V
100 nF,C7,C0402,CPL-CAP-X7R-0402-100NF-16V
100 nF,C8,C0402,CPL-CAP-X7R-0402-100NF-16V
100 nF,C9,C0402,CPL-CAP-X7R-0402-100NF-16V
100 nF,C10,C0402,CPL-CAP-X7R-0402-100NF-16V
100 nF,C11,C0402,CPL-CAP-X7R-0402-100NF-16V
100 nF,C12,C0402,CPL-CAP-X7R-0402-100NF-16V
10 pF,C13,C0603,CPL-CAP-C0G-0603-10PF-50V
10 pF,C14,C0603,CPL-CAP-C0G-0603-10PF-50V
100 nF,C15,C0603,CPL-CAP-X7R-0603-100NF-50V
100 nF,C16,C0603,CPL-CAP-X7R-0603-100NF-50V
1 µF,C17,C0603,CPL-CAP-X7R-0603-1UF-25V
1 µF,C18,C0603,CPL-CAP-X7R-0603-1UF-25V
22 µF,C19,C0805,C2012X5R1C226K125AC
22 µF,C20,C0805,C2012X5R1C226K125AC
22 µF,C21,C0805,C2012X5R1C226K125AC
22 µF,C23,C0805,C2012X5R1C226K125AC
22 µF,C24,C0805,C2012X5R1C226K125AC
100 nF,C25,C0603,CPL-CAP-X7R-0603-100NF-50V
100 nF,C26,C0603,CPL-CAP-X7R-0603-100NF-50V
100 nF,C27,C0603,CPL-CAP-X7R-0603-100NF-50V
100 nF,C28,C0603,CPL-CAP-X7R-0603-100NF-50V
100 nF,C29,C0603,CPL-CAP-X7R-0603-100NF-50V
ESD7004MUTAG,D1,UDFN10 2.5x1,ESD7004MUTAG
ESD7004MUTAG,D2,UDFN10 2.5x1,ESD7004MUTAG
TJ-S1706SW6TGLC6B-A5,D3,TJ-S1706SW6TGLC6B-A5,C409792
TJ-S1706SW6TGLC6B-A5,D4,TJ-S1706SW6TGLC6B-A5,C409792
TJ-S1706SW6TGLC6B-A5,D5,TJ-S1706SW6TGLC6B-A5,C409792
BLM18AG601SN1D,FB1,C0603,BLM18AG601SN1D
BLM18AG601SN1D,FB2,C0603,BLM18AG601SN1D
BLM18AG601SN1D,FB3,C0603,BLM18AG601SN1D
BLM18AG601SN1D,FB4,C0603,BLM18AG601SN1D
2086581051,J1,2086581051,C720616
USB4110-GF-A,J2,USB4110-GF-A,C2942996
USB4110-GF-A,J4,USB4110-GF-A,C2942996
10 µH,L1,SRN3015,C6364790
10 kΩ,R1,R0603,CPL-RES-0603-10K-0.1W
10 kΩ,R2,R0603,CPL-RES-0603-10K-0.1W
10 kΩ,R3,R0603,CPL-RES-0603-10K-0.1W
10 kΩ,R4,R0603,CPL-RES-0603-10K-0.1W
4.7 kΩ,R5,R0603,CPL-RES-0603-4.7K-0.1W
10 kΩ,R6,R0603,CPL-RES-0603-10K-0.1W
10 kΩ,R7,R0603,CPL-RES-0603-10K-0.1W
10 kΩ,R8,R0603,CPL-RES-0603-10K-0.1W
5.1 kΩ,R9,R0603,ERJ-3EKF5101
5.1 kΩ,R10,R0603,ERJ-3EKF5101
10 kΩ,R11,R0603,CPL-RES-0603-10K-0.1W
10 kΩ,R12,R0603,CPL-RES-0603-10K-0.1W
10 kΩ,R13,R0603,CPL-RES-0603-10K-0.1W
1 kΩ,R14,R0603,CPL-RES-0603-1K-0.1W
1 kΩ,R15,R0603,CPL-RES-0603-1K-0.1W
5.1 kΩ,R16,R0603,ERJ-3EKF5101
5.1 kΩ,R17,R0603,ERJ-3EKF5101
1 kΩ,R18,R0603,CPL-RES-0603-1K-0.1W
MS2109,U1,QFN-48 (7x7mm P5.3x5.3mm),MS2109
NUP4114UCLW1T2G,U2,SOT-363,NUP4114UCLW1T2G
24Cxx SOIC-8,U3,SOIC-8,C6663267
AP2120N-3.3TRG1,U4,SOT-23,C347376
NUP4114UCLW1T2G,U5,SOT-363,NUP4114UCLW1T2G
AZ1117IH-3.3,U6,SOT-223,AZ1117IH-3.3
TPS560200,U7,SOT-23-5,TPS560200
STM32F042KxUx,U8,UFQFPN32,STM32F042K6U6
NUP4114UCLW1T2G,U9,SOT-363,NUP4114UCLW1T2G
NX3225SA-24.000M-STD-CSR-1,Y1,4-SMD 3.2×2.5mm,C439044
